location,n,hashtag,covid_period,lon,lat
"Hull, England",4,UKEdchat,before,-0.3274198,53.76762360000001
Israel,4,UKEdchat,before,34.851612,31.046051
Kent,4,UKEdchat,before,-81.3578859,41.1536674
Malaysia,4,UKEdchat,before,101.975766,4.210484
Melbourne,4,UKEdchat,before,144.9630576,-37.8136276
"Melbourne, Australia",4,UKEdchat,before,144.9630576,-37.8136276
"Middlesbrough, England",4,UKEdchat,before,-1.234956,54.574227
Nationwide,4,UKEdchat,before,NA,NA
"New Jersey, USA",4,UKEdchat,before,-74.4056612,40.0583238
Northern Ireland,4,UKEdchat,before,-6.4923145,54.7877149
"Norwich, England",4,UKEdchat,before,1.2978802,52.6292567
Nottinghamshire,4,UKEdchat,before,-0.9936305999999998,53.100319
Online,4,UKEdchat,before,NA,NA
"Preston, England",4,UKEdchat,before,-2.70309,53.763201
"Somerset, UK",4,UKEdchat,before,-2.9262307,51.105097
USA,4,UKEdchat,before,-95.712891,37.09024
"Wakefield, England",4,UKEdchat,before,-1.505924,53.683298
"Warsaw, Poland",4,UKEdchat,before,21.0122287,52.2296756
"Washington, DC",4,UKEdchat,before,-77.0368707,38.9071923
"Watford, England",4,UKEdchat,before,-0.3970199,51.66112829999999
West Yorkshire,4,UKEdchat,before,-1.76261,53.81081760000001
"Wigan, England",4,UKEdchat,before,-2.6325074,53.5450645
#HalsburyTrips,3,UKEdchat,before,NA,NA
"Aberdeen, Scotland",3,UKEdchat,before,-2.0937528,57.1498891
All over the UK,3,UKEdchat,before,-3.435973,55.378051
"Atlanta, GA",3,UKEdchat,before,-84.3879824,33.7489954
"Bedford, England",3,UKEdchat,before,-0.4667782,52.1386394
Berlin,3,UKEdchat,before,13.404954,52.52000659999999
Birmingham UK,3,UKEdchat,before,-1.890401,52.48624299999999
Bolton,3,UKEdchat,before,-72.87876250000001,44.3726476
"Boston, MA",3,UKEdchat,before,-71.0588801,42.3600825
"Bournemouth, England",3,UKEdchat,before,-1.8667169,50.7220101
California,3,UKEdchat,before,-119.4179324,36.778261
Cambridge UK,3,UKEdchat,before,0.1312729,52.1950788
Cambridge/Coventry,3,UKEdchat,before,-1.4981662,52.4173764
Cambridgeshire,3,UKEdchat,before,0.1218195,52.2052973
Cornwall,3,UKEdchat,before,-5.0527125,50.26604709999999
Cumbria,3,UKEdchat,before,-2.7974835,54.5772323
"Devon, England",3,UKEdchat,before,-3.530875,50.7155591
Dubai,3,UKEdchat,before,55.2707828,25.2048493
"Dubai, UAE",3,UKEdchat,before,55.2707828,25.2048493
"Florida, USA",3,UKEdchat,before,-81.5157535,27.6648274
France,3,UKEdchat,before,2.213749,46.227638
"Grantham, England",3,UKEdchat,before,-0.643582,52.912524
"Hampshire, UK",3,UKEdchat,before,-1.3080629,51.05769480000001
"Iowa, USA",3,UKEdchat,before,-93.097702,41.8780025
"Irvine, CA",3,UKEdchat,before,-117.8265049,33.6845673
"Kent, UK",3,UKEdchat,before,0.5217254000000001,51.2787075
Leicester,3,UKEdchat,before,-1.1397592,52.6368778
Liverpool,3,UKEdchat,before,NA,NA
"Liverpool, UK",3,UKEdchat,before,-2.9915726,53.4083714
Michigan,3,UKEdchat,before,-85.60236429999999,44.3148443
Milton Keynes,3,UKEdchat,before,-0.7594171,52.0406224
Newcastle upon Tyne,3,UKEdchat,before,-1.61778,54.978252
"Newcastle Upon Tyne, England",3,UKEdchat,before,-1.61778,54.978252
"Norfolk, England",3,UKEdchat,before,0.8864021,52.6139686
North Carolina,3,UKEdchat,before,-79.01929969999999,35.7595731
North East England,3,UKEdchat,before,-1.9479664,54.9456129
"Northampton, England",3,UKEdchat,before,-0.8944420999999999,52.23706499999999
Northamptonshire,3,UKEdchat,before,-0.8755514999999999,52.27299439999999
"Northumberland, UK",3,UKEdchat,before,-2.0784138,55.2082542
"Oxford, UK",3,UKEdchat,before,-1.2577263,51.7520209
Peterborough,3,UKEdchat,before,-0.2407996999999999,52.57031689999999
Plymouth,3,UKEdchat,before,-70.6672621,41.9584457
"Plymouth, England",3,UKEdchat,before,-4.1426565,50.3754565
"Seattle, WA",3,UKEdchat,before,-122.3320708,47.6062095
"Stafford, England",3,UKEdchat,before,-2.12066,52.806693
Suffolk,3,UKEdchat,before,-71.0504229,42.3522866
Surrey,3,UKEdchat,before,-0.5599501,51.31475930000001
"Swanage, England",3,UKEdchat,before,-1.960769,50.608277
"Sydney, Australia",3,UKEdchat,before,151.2092955,-33.8688197
"Telford, England",3,UKEdchat,before,-2.4672611,52.6775873
"Warrington, England",3,UKEdchat,before,-2.5969501,53.3900441
West Sussex,3,UKEdchat,before,-0.4617075,50.9280143
"7,000 schools",2,UKEdchat,before,NA,NA
"Abu Dhabi, United Arab Emirate",2,UKEdchat,before,54.3773438,24.453884
"Adelaide, South Australia",2,UKEdchat,before,138.6007456,-34.9284989
"Ashby-de-la-Zouch, England",2,UKEdchat,before,-1.468618,52.749212
"Ballarat, Victoria",2,UKEdchat,before,143.8502556,-37.5621587
"Basingstoke, England",2,UKEdchat,before,-1.0923964,51.26654
"Bath, UK",2,UKEdchat,before,-2.3596827,51.3781018
"Bexley, London",2,UKEdchat,before,0.154327,51.439933
Bournemouth,2,UKEdchat,before,-1.8667169,50.7220101
Bradford,2,UKEdchat,before,-1.7563583,53.7937996
Bridgwater,2,UKEdchat,before,-3.003632,51.127889
Brighton,2,UKEdchat,before,NA,NA
"Brighton, UK",2,UKEdchat,before,-0.1362672,50.8229402
"Buckinghamshire, UK",2,UKEdchat,before,-0.8127664,51.8072204
"Buenos Aires, Argentina",2,UKEdchat,before,-58.3815591,-34.6036844
"Burlington, VT",2,UKEdchat,before,-73.21207199999999,44.4758825
Cape Town,2,UKEdchat,before,18.4240553,-33.9248685
"Cheltenham, England",2,UKEdchat,before,-2.0782533,51.8993855
"Cheshire, England",2,UKEdchat,before,-2.6103157,53.23263439999999
Chester,2,UKEdchat,before,-2.6103157,53.23263439999999
"Chester, England",2,UKEdchat,before,-2.893075,53.193392
"Cleveland, OH",2,UKEdchat,before,-81.6943605,41.49932
Colchester,2,UKEdchat,before,0.8918740000000001,51.895927
"Cork, Ireland",2,UKEdchat,before,-8.4756035,51.8985143
Coventry,2,UKEdchat,before,-1.5089521,52.4128163
"Coventry, England",2,UKEdchat,before,-1.5089521,52.4128163
"Dallas, TX",2,UKEdchat,before,-96.79698789999999,32.7766642
"Darlington, England",2,UKEdchat,before,-1.559458,54.52361
"Doncaster, England",2,UKEdchat,before,-1.128462,53.52282
Dorset,2,UKEdchat,before,-2.3444786,50.7487635
"Dublin City, Ireland",2,UKEdchat,before,-6.2603097,53.3498053
"Dublin, Ireland",2,UKEdchat,before,-6.2603097,53.3498053
"Durham, England",2,UKEdchat,before,-1.584852,54.77525
Earth,2,UKEdchat,before,NA,NA
East London,2,UKEdchat,before,0.0655092,51.55633
"Edmonton, Alberta",2,UKEdchat,before,-113.4938229,53.5461245
"Essex, England",2,UKEdchat,before,0.4856781,51.57424469999999
"Essex, UK",2,UKEdchat,before,0.4856781,51.57424469999999
"Exeter, Devon",2,UKEdchat,before,-3.5274889,50.72603669999999
"Farnborough, England",2,UKEdchat,before,-0.7526149999999999,51.2868939
"Georgia, USA",2,UKEdchat,before,-82.9000751,32.1656221
Germany,2,UKEdchat,before,10.451526,51.165691
"Glasgow, Scotland, UK",2,UKEdchat,before,-4.251806,55.864237
"Gloucester, England",2,UKEdchat,before,-2.238156,51.8642449
"Great Malvern, England",2,UKEdchat,before,-2.32607,52.1116462
"Grimsby, England",2,UKEdchat,before,-0.080784,53.567471
Guatemala,2,UKEdchat,before,-90.23075899999999,15.783471
"Guildford, England",2,UKEdchat,before,-0.570409,51.23622
"Hailsham, East Sussex",2,UKEdchat,before,0.255234,50.864612
"Harrogate, England",2,UKEdchat,before,-1.541812,53.99212
"Hereford, England",2,UKEdchat,before,-2.715974,52.05639799999999
"Herefordshire & Coventry, UK",2,UKEdchat,before,-2.6544182,52.0765164
"Hillsborough, NC",2,UKEdchat,before,-79.0997347,36.0754183
"Horsham, England",2,UKEdchat,before,-0.325858,51.062883
"Huddersfield, England",2,UKEdchat,before,-1.785035,53.645792
International,2,UKEdchat,before,NA,NA
"iPhone: 0.000000,0.000000",2,UKEdchat,before,NA,NA
Isle of Man,2,UKEdchat,before,-4.548056,54.236107
"Kent, England",2,UKEdchat,before,0.5217254000000001,51.2787075
"Kidderminster, England",2,UKEdchat,before,-2.2496839,52.388596
"Lagos, Nigeria",2,UKEdchat,before,3.3792057,6.5243793
"Leeds, UK",2,UKEdchat,before,-1.5490774,53.8007554
"Leicestershire, England",2,UKEdchat,before,-1.2052126,52.772571
Lincolnshire,2,UKEdchat,before,-0.1601246,52.9451889
"Liphook, England",2,UKEdchat,before,-0.801777,51.07661
London UK,2,UKEdchat,before,-0.1275862,51.5072178
Madrid,2,UKEdchat,before,-3.7037902,40.4167754
"Maidstone, South East",2,UKEdchat,before,0.522699,51.270363
"Melbourne, Victoria",2,UKEdchat,before,144.9630576,-37.8136276
"Michigan, USA",2,UKEdchat,before,-85.60236429999999,44.3148443
"Milton Keynes, UK",2,UKEdchat,before,-0.7594171,52.0406224
"Missouri, USA",2,UKEdchat,before,-91.8318334,37.9642529
"New Delhi, India",2,UKEdchat,before,77.2090212,28.6139391
New York,2,UKEdchat,before,-74.0059728,40.7127753
New York City,2,UKEdchat,before,-74.0059728,40.7127753
"New York, USA",2,UKEdchat,before,-74.0059728,40.7127753
NJ,2,UKEdchat,before,-74.4056612,40.0583238
Norfolk,2,UKEdchat,before,-76.28587259999999,36.8507689
"Norfolk, United Kingdom",2,UKEdchat,before,0.8864021,52.6139686
North Wales,2,UKEdchat,before,-3.8080783,53.0711149
North West England,2,UKEdchat,before,-2.5945013,53.6221338
"North West, UK",2,UKEdchat,before,-2.5945013,53.6221338
Northampton,2,UKEdchat,before,-72.64120129999999,42.3250896
Northumberland,2,UKEdchat,before,-2.0784138,55.2082542
"Oakland, CA",2,UKEdchat,before,-122.2711639,37.8043514
"Ontario, Canada",2,UKEdchat,before,-85.3232139,51.253775
"Orlando, FL",2,UKEdchat,before,-81.3789269,28.5383832
"Oxford, United Kingdom",2,UKEdchat,before,-1.2577263,51.7520209
"Pittsburgh, PA",2,UKEdchat,before,-79.9958864,40.44062479999999
"Poole, England",2,UKEdchat,before,-1.987248,50.71505
"Pune, India",2,UKEdchat,before,73.8567437,18.5204303
"Ramsgate, England",2,UKEdchat,before,1.419895,51.335545
Renfrewshire,2,UKEdchat,before,-4.5331259,55.846654
"Richmond, North Yorkshire",2,UKEdchat,before,-1.732618,54.403465
Rochdale,2,UKEdchat,before,-73.7727908,40.6768746
"Rotherham, England",2,UKEdchat,before,-1.3635009,53.4326035
San Francisco Bay Area,2,UKEdchat,before,-122.2913078,37.8271784
"Scarborough, England",2,UKEdchat,before,-0.399752,54.283113
"Sheffield, UK",2,UKEdchat,before,-1.470085,53.38112899999999
Somerset,2,UKEdchat,before,-2.9262307,51.105097
South Wales,2,UKEdchat,before,-3.3821421,51.6858341
South West,2,UKEdchat,before,NA,NA
South West England,2,UKEdchat,before,-3.999461,50.77721349999999
Southampton,2,UKEdchat,before,-1.4049018,50.9105468
Spain,2,UKEdchat,before,-3.74922,40.46366700000001
St Albans,2,UKEdchat,before,-0.339436,51.752725
Staffordshire,2,UKEdchat,before,-2.0571868,52.8792745
"Staffordshire, England",2,UKEdchat,before,-2.0571868,52.8792745
"Stockholm, Sverige",2,UKEdchat,before,18.0685808,59.32932349999999
"Stockport, England",2,UKEdchat,before,-2.1575332,53.41063159999999
"Stoke-on-Trent, England",2,UKEdchat,before,-2.1827408,53.0033369
"Suffolk, UK",2,UKEdchat,before,0.9707800999999999,52.1872472
"Sydney, New South Wales",2,UKEdchat,before,151.2092955,-33.8688197
"Tampa, FL",2,UKEdchat,before,-82.4571776,27.950575
Texas,2,UKEdchat,before,-99.9018131,31.9685988
Thailand,2,UKEdchat,before,100.992541,15.870032
Toronto,2,UKEdchat,before,-79.3831843,43.653226
"Toronto, Ontario",2,UKEdchat,before,-79.3831843,43.653226
"Trivandrum, India",2,UKEdchat,before,76.9366376,8.5241391
Tunisia,2,UKEdchat,before,9.537499,33.886917
U.K.,2,UKEdchat,before,-3.435973,55.378051
uk,2,UKEdchat,before,-3.435973,55.378051
UK wide,2,UKEdchat,before,-3.435973,55.378051
"Valencia, Spain",2,UKEdchat,before,-0.3762881,39.4699075
"Valladolid, CyL, Spain",2,UKEdchat,before,-4.724532099999999,41.652251
"Waltham, MA",2,UKEdchat,before,-71.2356113,42.3764852
"West Midlands, UK",2,UKEdchat,before,-1.829833,52.4750743
"West Sussex, UK",2,UKEdchat,before,-0.4617075,50.9280143
Whitstable,2,UKEdchat,before,1.024256,51.361047
Wigan,2,UKEdchat,before,-2.6325074,53.5450645
Wirral,2,UKEdchat,before,-3.073754,53.3727181
"Wirral, Merseyside",2,UKEdchat,before,-3.073754,53.3727181
"Wokingham, England",2,UKEdchat,before,-0.833861,51.410457
"Wolverhampton, England",2,UKEdchat,before,-2.1256587,52.5868159
"Worcestershire, UK",2,UKEdchat,before,-2.221575,52.193636
WorldWide,2,UKEdchat,before,NA,NA
Worldwide 🌐,2,UKEdchat,before,NA,NA
"Wrexham, Wales",2,UKEdchat,before,-2.992494,53.04304
York,2,UKEdchat,before,-1.0739108,53.9614205
"Yorkshire, England",2,UKEdchat,before,-1.0792403,53.9590858
"Yorkshire, UK",2,UKEdchat,before,-1.0792403,53.9590858
"Scotland, UK",1,UKEdchat,before,-4.2026458,56.49067119999999
(M Nesbitt),1,UKEdchat,before,NA,NA
#Canada  #Philippines  #USA,1,UKEdchat,before,NA,NA
#Hastings #BurgessHill #Sussex,1,UKEdchat,before,NA,NA
#TeamOceanova,1,UKEdchat,before,NA,NA
+44 1865 670 070,1,UKEdchat,before,NA,NA
+50 countries +1000 providers,1,UKEdchat,before,NA,NA
🇦🇪,1,UKEdchat,before,NA,NA
🇬🇧,1,UKEdchat,before,NA,NA
🌏,1,UKEdchat,before,NA,NA
"📍London, England",1,UKEdchat,before,-0.1275862,51.5072178
"📍Midway, KY, USA",1,UKEdchat,before,-84.6838344,38.1509077
🧠,1,UKEdchat,before,NA,NA
020 8221 9080,1,UKEdchat,before,NA,NA
10/40 Window,1,UKEdchat,before,NA,NA
"183-189 The Vale, Acton, Londo",1,UKEdchat,before,-0.2572608,51.5063632
"197 Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Thành phố Hồ Chí Minh",1,UKEdchat,before,106.725636,10.7550682
"27 Xuân Hồng, Phường 12, Quận Tân Bình, Hồ Chí Minh",1,UKEdchat,before,106.6524585,10.7941494
35 locations UK wide,1,UKEdchat,before,-3.435973,55.378051
"37.299367,-121.890769",1,UKEdchat,before,-121.8908847,37.2993154
"5 Charles Street, Worcester",1,UKEdchat,before,-2.2183502,52.1909322
"51,7276066666667 10,2575ster",1,UKEdchat,before,NA,NA
"57.294032,-2.387916",1,UKEdchat,before,-2.3884441,57.2940844
58 Victoria Embankment London,1,UKEdchat,before,-0.1075791,51.5113748
A Mountain called Freecloud,1,UKEdchat,before,NA,NA
"Abercynon, Wales",1,UKEdchat,before,-3.3293529,51.64751200000001
Aberdeen,1,UKEdchat,before,-2.0937528,57.1498891
"Aberdeenshire, Scotland",1,UKEdchat,before,-2.3815684,57.28687230000001
Abu Dhabi | London,1,UKEdchat,before,54.3773438,24.453884
"Abu Dhabi, United Arab Emirates",1,UKEdchat,before,54.3773438,24.453884
"Abu Dhabi,United Arab Emirates",1,UKEdchat,before,54.3773438,24.453884
"Abuja, Nigeria",1,UKEdchat,before,7.398574,9.0764785
Adelaide,1,UKEdchat,before,138.6007456,-34.9284989
"Adelaide, South  Australia",1,UKEdchat,before,138.6007456,-34.9284989
"Al Wakra, Qatar",1,UKEdchat,before,51.5975524,25.1659314
"Alabama, USA",1,UKEdchat,before,-86.902298,32.3182314
Alcobendas (Madrid) SPAIN,1,UKEdchat,before,-3.6370715,40.5371361
"Alden, Iowa",1,UKEdchat,before,-93.3760389,42.52025709999999
alemania,1,UKEdchat,before,10.451526,51.165691
"Alexandria, Virginia",1,UKEdchat,before,-77.0469214,38.8048355
All over the place.,1,UKEdchat,before,NA,NA
All over the UK and Europe.,1,UKEdchat,before,-3.435973,55.378051
"Altrincham, UK",1,UKEdchat,before,-2.3488983,53.38690459999999
Always Ireland ☘️,1,UKEdchat,before,NA,NA
American Samoa,1,UKEdchat,before,-170.132217,-14.270972
Amongst the trees,1,UKEdchat,before,NA,NA
"Amsterdam, North Holland",1,UKEdchat,before,4.9041389,52.3675734
"Anfield, Liverpool",1,UKEdchat,before,-2.96083,53.4308294
Anglesey North Wales,1,UKEdchat,before,-4.429140299999999,53.265325
"Anlaby, East Yorkshire",1,UKEdchat,before,-0.4322939,53.7452336
Anywhere in the UK,1,UKEdchat,before,-3.435973,55.378051
Anywhere leads to everywhere,1,UKEdchat,before,NA,NA
APAC,1,UKEdchat,before,NA,NA
Ard Mhacha (Éire / Ireland),1,UKEdchat,before,-6.652792,54.3502798
Argyll and Bute,1,UKEdchat,before,-5.480748,56.4006214
"Arlesey, UK",1,UKEdchat,before,-0.26326,52.015347
"Arlington, TX",1,UKEdchat,before,-97.10806559999999,32.735687
"Arlington, VA; Wales & Cambridge, UK",1,UKEdchat,before,-77.1067698,38.8799697
"Ascot, South East",1,UKEdchat,before,-0.6755624,51.4062365
"Ashbourne, England",1,UKEdchat,before,-1.732179,53.016626
Ashford Kent,1,UKEdchat,before,0.8739631,51.14510070000001
"Ashford, England",1,UKEdchat,before,0.8739631,51.14510070000001
"Ashford, Kent",1,UKEdchat,before,0.8739631,51.14510070000001
"Ashley Down, Bristol BS7 9FG",1,UKEdchat,before,-2.5806626,51.4781153
"Astley, Manchester",1,UKEdchat,before,-2.450043,53.50100699999999
"At home, obviously (Rutland)",1,UKEdchat,before,NA,NA
At my desk...,1,UKEdchat,before,NA,NA
Athens Greece,1,UKEdchat,before,23.7275388,37.9838096
"AU, DK, NO, SE, UK, USA",1,UKEdchat,before,-95.712891,37.09024
"AU, DK, NO, SE, UK, USA, CAN",1,UKEdchat,before,-95.712891,37.09024
Auckland,1,UKEdchat,before,174.7644881,-36.85088270000001
"Auckland Central, Auckland",1,UKEdchat,before,174.7644675,-36.8507736
"Auckland, Aotearoa",1,UKEdchat,before,174.7644881,-36.85088270000001
"Auckland, New Zealand",1,UKEdchat,before,174.7644881,-36.85088270000001
Australasia,1,UKEdchat,before,145.491477,-29.5328037
Australia | Adl | Syd | Mel,1,UKEdchat,before,151.1819124,-33.9500344
Ayrshire,1,UKEdchat,before,-4.6679959,55.3649698
"Babraham, Cambridge, UK.",1,UKEdchat,before,0.2092987,52.1308776
Bailiwick of Guernsey,1,UKEdchat,before,-2.5894685,49.4481808
Bailiwick of Jersey,1,UKEdchat,before,-2.1357662,49.2137711
Balckburn,1,UKEdchat,before,145.1530529,-37.8197129
"Ballina, Australia",1,UKEdchat,before,153.5658162,-28.8627985
"Banbridge, Northern Ireland",1,UKEdchat,before,-6.2704803,54.348729
"Banbury, Oxfordshire",1,UKEdchat,before,-1.339775,52.0629009
"Banff, Canada",1,UKEdchat,before,-115.5708073,51.17839720000001
Bangalore,1,UKEdchat,before,77.5945627,12.9715987
Bangkok - Thailand,1,UKEdchat,before,100.5017651,13.7563309
Bangladesh,1,UKEdchat,before,90.356331,23.684994
"Bangor, Gwynedd, LL57 4FA, UK",1,UKEdchat,before,-4.179556199999999,53.20317470000001
Barcelona and San Francisco,1,UKEdchat,before,2.168568,41.3873974
"Barcelona, España",1,UKEdchat,before,2.168568,41.3873974
"Barcelona, Spain",1,UKEdchat,before,2.168568,41.3873974
"Barnet, London",1,UKEdchat,before,-0.2076295,51.6049673
"Barnsley, England",1,UKEdchat,before,-1.479726,53.55263
"Barnsley, South Yorks",1,UKEdchat,before,-1.479726,53.55263
"Barnsley, South Yorkshire, UK",1,UKEdchat,before,-1.479726,53.55263
"Barrow-in-Furness, England",1,UKEdchat,before,-3.218894,54.108967
"Barton, Staffordshire, UK",1,UKEdchat,before,-1.7232078,52.7646717
"Based in Austin, TX",1,UKEdchat,before,-97.7430608,30.267153
Bath,1,UKEdchat,before,-2.3596827,51.3781018
"BBC MediaCityUK, Salford",1,UKEdchat,before,-2.2983425,53.4728524
Béal Feirste,1,UKEdchat,before,-5.93012,54.59728500000001
"Bedford, UK",1,UKEdchat,before,-0.4667782,52.1386394
Beds,1,UKEdchat,before,NA,NA
"Beds, UK",1,UKEdchat,before,-3.435973,55.378051
Beds. & Cambs. UK,1,UKEdchat,before,NA,NA
Beijing,1,UKEdchat,before,116.407395,39.904211
Belfast,1,UKEdchat,before,-5.93012,54.59728500000001
Belfast 'Norn Iron',1,UKEdchat,before,NA,NA
Belfast | Gloucestershire,1,UKEdchat,before,-2.2380335,51.8642112
"Belfast, Northern Ireland",1,UKEdchat,before,-5.93012,54.59728500000001
"Belmont, CA, USA",1,UKEdchat,before,-122.2758008,37.5202145
"Bembridge, IW/Moffat, Scotland",1,UKEdchat,before,-3.440337,55.33520799999999
"Benenden, England",1,UKEdchat,before,0.5817559999999999,51.066525
"Bengaluru South, India",1,UKEdchat,before,77.5945627,12.9715987
"Bengaluru, India",1,UKEdchat,before,77.5945627,12.9715987
Berkhamsted,1,UKEdchat,before,-0.5678569000000001,51.75976600000001
"Berkhamsted/Herts, UK",1,UKEdchat,before,-0.5678569000000001,51.75976600000001
